LAYOUT;420;297
Concepts, principales and rules according to:;0;2
Dimensions according to:;0;-1
Tolerances of form, orientation, location and run-out:;0;-3
Edge finish according to:;0;-6
Surface texture according to:;0;-9
Limits according to:;0;-12
16% rule:;0;-15
ISO 8015;0;2
ISO 14405 1-3;0;-1
ISO 1101;0;-3
ISO 13715;0;-6
ISO 1302;0;-9
ISO 286-2;0;-12
not applicable;0;-15
Rz 16;4;3
2x;163;195
%%c;163;199
19,20;163;203
-;163;210
0,00;160;211
0,05;163;211
%%c;152;197
15,15;152;200
+;149;208
0,05;149;209
0,00;152;209
LAYOUT;420;297
Concepts, principales and rules according to:;0;2
Dimensions according to:;0;-1
Tolerances of form, orientation, location and run-out:;0;-3
Edge finish according to:;0;-6
Surface texture according to:;0;-9
Limits according to:;0;-12
16% rule:;0;-15
ISO 8015;0;2
ISO 14405 1-3;0;-1
ISO 1101;0;-3
ISO 13715;0;-6
ISO 1302;0;-9
ISO 286-2;0;-12
not applicable;0;-15
Rz 16;4;3
2x;163;195
%%c;163;199
19,20;163;203
-;163;210
0,00;160;211
0,05;163;211
%%c;152;197
15,15;152;200
+;149;208
0,05;149;209
0,00;152;209
