Toleran zklasse,,,Grenzalbmaße für 1Nennmaßbereiche,,
"von 0,5^)",,über 3,über 6 über 30 über 120 über 400,über 1000,über 2000
Kurzzeichen Benennung bis 3,öCO,bis 6,bis 30 bis 120 bis 400 bis 1000,bis 2000,bis 4000
o,,,,,
CO,,,,,
"f fein ±0,0+51",,"±0,05","±0,1 ±0,15 ±0,2 ±0,3","±0,5",—
"m mittel ±0,1",,"±0,1","±0,2 ±0,3 ±0,5 ±0,8","± 1,2",±2
"c grob ±0,2",,"±0,3","±0,5 ±0,8 ±1,2 ±2",±3,±4
V sehr grob —,,"±0,5","±1 ±1,5 ±2,5 ±4",±6,±8
"^) Für Nennmaße unter 0,5 mm sind die Grenzabmaße direkt an dem (den) entsprechenden Nennmaß(en) anzugeben.",,,,,
Toleran zklasse,Greiizabmaße für Nennmaßbere iche,
"Kurzzeichen Benennung von 0,5^) bis 3",über 3 bis 6,über 6
f fein,,
"±0,2","±0,5",± 1
m mittel,,
c grob,,
"±0,4",± 1,±2
V sehr grob,,
"^) Für Nennmaße unter 0,5 mm sind die Grenzabmaße direkt an dem (den) entsprechenden Nennmaß(en) anzugeben.",,
Toleranzklasse,,"Grenzabmaße fCir Längenbereichie, in mm, für den",
"",,kürzeren Sch(3nkel des betreffe>nden Winkels,
Kurzzeichen Benennung,bis 10,über 10 über 50 über 120,über 400
"",,bis 50 bis 120 bis 400,
f fein,,,
"",± 1°,± 0° 30' ±0° 10',±0°5'
m mittel,,,
c grob,,± 1° ± 0° 30' ±0° 15',±0° 10'
V sehr grob,,±2° ±1°,±0° 20'
