TEXT;X;YLAYOUT;420;297
Stahl;9;8
Adapterplatte;9;0
ENTGRATEN;0;1
UND SCHARFE;0;-1
KANTEN;0;-4
BRECHEN;0;-6
WENN NICHT ANDERS DEFINIERT:;0;1
BEMASSUNGEN SIND IN MILLIMETER;0;-1
OBERFL?CHENBESCHAFFENHEIT:;0;-4
TOLERANZEN:;0;-6
LINEAR: +0.1/-0.1;1;-9
WINKEL:;1;-11
0;172;108
25,00;185;99
39,90;192;99
160,10;252;96
175,00;260;96
200,00;272;96
0;154;128
25,00;145;141
39,90;145;148
160,10;142;208
175,00;142;216
200,00;142;228
R10,00;276;235
4 x;300;149
%%c;307;149
11,00;314;149
20,00;333;149
%%c;308;144
18,00;315;144
12,00;334;144
4 x M8 Gewinde durchgehend;0;4
20,00;47;241
A;17;31
A;412;31
B;17;75
B;412;75
C;17;125
C;412;125
D;17;175
D;412;175
E;17;225
E;412;225
F;17;269
F;412;269
8;42;9
8;42;291
7;89;9
7;89;291
6;139;9
6;139;291
5;189;9
5;189;291
4;239;9
4;239;291
3;289;9
3;289;291
2;339;9
2;339;291
1;387;9
1;387;291
GEWICHT:;285;12
Stahl;307;21
A3;401;24
BLATT 1 VON 1;374;12
MASSSTAB:1:2;330;12
ZEICHNUNGSNR.;330;25
BENENNUNG:;330;46
?NDERUNG;383;62
ZEICHNUNG NICHT SKALIEREN;342;62
WERKSTOFF:;285;25
DATUM;277;46
SIGNATUR;260;46
NAME;244;46
OBERFL?CHENG?TE:;264;63
QUALIT?T;230;25
PRODUKTION;230;29
GENEHMIGT;230;34
GEPR?FT;230;38
GEZEICHNET;230;42
<>;174;132
<>;174;132
<>;174;132
<>;174;132
<>;174;132
<>;174;132
<>;179;127
<>;179;127
<>;179;127
<>;179;127
<>;179;127
<>;179;127
<>;269;222
"4 x <> {\fGDT;x} 20,00\P{\fGDT;v}%%c 18,00 {\fGDT;x} 12,00\P";257;139
A;196;242
A;196;115
<>;71;237
SCHNITT A-A;75;115
Layout1;0;0
Layout2;0;0
Model;0;0
