element;xmin;ymin;xmax;ymax;ausrichtung;point_xmi_ymi;point_xma_ymi;point_xmi_yma;point_xma_yma
[['109.274200', '11.005600', '117.586701', '31.510600', '4']];109.2742;11.0056;117.586701;31.5106;1;[109.2742, 11.0056];[117.586701, 11.0056];[109.2742, 31.5106];[117.586701, 31.5106]
[['236.834200', '11.005600', '245.146701', '31.510600', '3']];236.8342;11.0056;245.146701;31.5106;1;[236.8342, 11.0056];[245.146701, 11.0056];[236.8342, 31.5106];[245.146701, 31.5106]
[['378.569200', '11.005600', '386.881701', '31.510600', '2']];378.5692;11.0056;386.881701;31.5106;1;[378.5692, 11.0056];[386.881701, 11.0056];[378.5692, 31.5106];[386.881701, 31.5106]
[['506.129200', '11.005600', '514.441701', '31.510600', '1']];506.1292;11.0056;514.441701;31.5106;1;[506.1292, 11.0056];[514.441701, 11.0056];[506.1292, 31.5106];[514.441701, 31.5106]
[['46.004200', '72.760600', '53.275039', '93.265600', 'F']];46.0042;72.7606;53.275039;93.2656;1;[46.0042, 72.7606];[53.275039, 72.7606];[46.0042, 93.2656];[53.275039, 93.2656]
[['570.419200', '72.760600', '577.690039', '93.265600', 'F']];570.4192;72.7606;577.690039;93.2656;1;[570.4192, 72.7606];[577.690039, 72.7606];[570.4192, 93.2656];[577.690039, 93.2656]
[['320.711241', '172.578491', '328.730902', '190.661577', '+'], ['328.727591', '172.578491', '354.384985', '190.661577', '0.10'], ['291.384100', '185.251202', '317.041494', '203.334288', '4.00'], ['322.523518', '185.409942', '326.919170', '203.493028', '-'], ['328.727591', '185.409942', '354.384985', '203.493028', '0.03']];291.3841;172.578491;354.384985;203.493028;3;[291.3841, 172.578491];[354.384985, 172.578491];[291.3841, 203.493028];[354.384985, 203.493028]
[['570.029200', '198.085600', '578.070872', '218.590600', 'E']];570.0292;198.0856;578.070872;218.5906;1;[570.0292, 198.0856];[578.070872, 198.0856];[570.0292, 218.5906];[578.070872, 218.5906]
[['368.051891', '313.584281', '386.134977', '321.603942', '+'], ['368.051891', '287.930198', '386.134977', '313.587592', '0.10'], ['380.724602', '325.270380', '398.807688', '358.258458', '38.00'], ['380.883342', '315.396013', '398.966428', '319.791665', '-'], ['380.883342', '287.930198', '398.966428', '313.587592', '1.00']];368.051891;287.930198;398.966428;358.258458;1;[368.051891, 287.930198];[398.966428, 287.930198];[368.051891, 358.258458];[398.966428, 358.258458]
[['45.614200', '198.085600', '53.655872', '218.590600', 'E']];45.6142;198.0856;53.655872;218.5906;1;[45.6142, 198.0856];[53.655872, 198.0856];[45.6142, 218.5906];[53.655872, 218.5906]
[['44.039200', '339.820600', '55.205863', '360.325600', 'D']];44.0392;339.8206;55.205863;360.3256;1;[44.0392, 339.8206];[55.205863, 339.8206];[44.0392, 360.3256];[55.205863, 360.3256]
[['568.454200', '339.820600', '579.620863', '360.325600', 'D']];568.4542;339.8206;579.620863;360.3256;1;[568.4542, 339.8206];[579.620863, 339.8206];[568.4542, 360.3256];[579.620863, 360.3256]
[['269.456500', '426.196102', '302.443622', '444.279188', '40.00'], ['306.108858', '426.196102', '339.029820', '444.279188', '±0.00'], ['342.695056', '426.196102', '361.021235', '444.279188', '0,2']];269.4565;426.196102;361.021235;444.279188;3;[269.4565, 426.196102];[361.021235, 426.196102];[269.4565, 444.279188];[361.021235, 444.279188]
[['43.529200', '481.555600', '55.716688', '502.060600', 'C']];43.5292;481.5556;55.716688;502.0606;1;[43.5292, 481.5556];[55.716688, 481.5556];[43.5292, 502.0606];[55.716688, 502.0606]
[['567.944200', '481.555600', '580.131688', '502.060600', 'C']];567.9442;481.5556;580.131688;502.0606;1;[567.9442, 481.5556];[580.131688, 481.5556];[567.9442, 502.0606];[580.131688, 502.0606]
[['45.314200', '623.290600', '53.918371', '643.795600', 'B']];45.3142;623.2906;53.918371;643.7956;1;[45.3142, 623.2906];[53.918371, 623.2906];[45.3142, 643.7956];[53.918371, 643.7956]
[['569.729200', '623.290600', '578.333371', '643.795600', 'B']];569.7292;623.2906;578.333371;643.7956;1;[569.7292, 623.2906];[578.333371, 623.2906];[569.7292, 643.7956];[578.333371, 643.7956]
[['58.373900', '656.552500', '91.489701', '667.488500', 'Material:'], ['93.647056', '656.552500', '132.915604', '667.488500', 'Aluminium']];58.3739;656.5525;132.915604;667.4885;3;[58.3739, 656.5525];[132.915604, 656.5525];[58.3739, 667.4885];[132.915604, 667.4885]
[['154.165900', '656.552500', '183.171229', '667.488500', 'Surface'], ['185.342122', '656.552500', '214.582566', '667.488500', 'Texture:']];154.1659;656.5525;214.582566;667.4885;3;[154.1659, 656.5525];[214.582566, 656.5525];[154.1659, 667.4885];[214.582566, 667.4885]
[['223.293900', '677.552500', '258.186970', '688.488500', 'Entgratet']];223.2939;677.5525;258.18697;688.4885;3;[223.2939, 677.5525];[258.18697, 677.5525];[223.2939, 688.4885];[258.18697, 688.4885]
[['60.565900', '706.040500', '89.477934', '716.976500', 'Surface'], ['91.641845', '706.040500', '166.300670', '716.976500', 'material/treatment:']];60.5659;706.0405;166.30067;716.9765;3;[60.5659, 706.0405];[166.30067, 706.0405];[60.5659, 716.9765];[166.30067, 716.9765]
[['44.054200', '748.825600', '55.158362', '769.330600', 'A']];44.0542;748.8256;55.158362;769.3306;1;[44.0542, 748.8256];[55.158362, 748.8256];[44.0542, 769.3306];[55.158362, 769.3306]
[['229.533900', '706.040500', '257.720012', '716.976500', 'Harden']];229.5339;706.0405;257.720012;716.9765;3;[229.5339, 706.0405];[257.720012, 706.0405];[229.5339, 716.9765];[257.720012, 716.9765]
[['58.373900', '729.416500', '97.870106', '740.352500', 'Concepts,'], ['100.031823', '729.416500', '140.948363', '740.352500', 'principales'], ['143.110079', '729.416500', '158.546455', '740.352500', 'and'], ['160.708172', '729.416500', '177.463428', '740.352500', 'rules'], ['179.625145', '729.416500', '219.433512', '740.352500', 'according'], ['221.595229', '729.416500', '231.514154', '740.352500', 'to:'], ['58.373900', '737.416500', '100.375683', '748.352500', 'Dimensions'], ['102.537024', '737.416500', '142.338453', '748.352500', 'according'], ['144.499794', '737.416500', '154.416990', '748.352500', 'to:'], ['58.373900', '745.416500', '99.034574', '756.352500', 'Tolerances'], ['101.196379', '745.416500', '108.758797', '756.352500', 'of'], ['110.920602', '745.416500', '130.314417', '756.352500', 'form,'], ['132.476222', '745.416500', '175.548441', '756.352500', 'orientation,'], ['177.710246', '745.416500', '208.841807', '756.352500', 'location'], ['211.003612', '745.416500', '226.440620', '756.352500', 'and'], ['228.602426', '745.416500', '257.712659', '756.352500', 'run-out:'], ['58.373900', '753.416500', '78.217548', '764.352500', 'Edge'], ['80.378196', '753.416500', '98.490205', '764.352500', 'finish'], ['100.650854', '753.416500', '140.439552', '764.352500', 'according'], ['142.600200', '753.416500', '152.514224', '764.352500', 'to:'], ['58.373900', '761.416500', '87.346542', '772.352500', 'Surface'], ['89.514989', '761.416500', '115.872969', '772.352500', 'texture'], ['118.041416', '761.416500', '157.973717', '772.352500', 'according'], ['160.142164', '761.416500', '170.091969', '772.352500', 'to:'], ['58.373900', '769.416500', '78.083368', '780.352500', 'Limits'], ['80.243844', '769.416500', '120.029359', '780.352500', 'according'], ['122.189834', '769.416500', '132.103065', '780.352500', 'to:'], ['58.373900', '777.416500', '72.949269', '788.352500', '16%'], ['75.093389', '777.416500', '90.853055', '788.352500', 'rule:'], ['58.133900', '788.640500', '84.919046', '799.576500', 'Quality'], ['87.077756', '788.640500', '124.181067', '799.576500', 'Standard:'], ['126.339776', '788.640500', '136.283869', '799.576500', 'EN'], ['138.442579', '788.640500', '160.029676', '799.576500', '10095']];58.1339;729.4165;257.712659;799.5765;3;[58.1339, 729.4165];[257.712659, 729.4165];[58.1339, 799.5765];[257.712659, 799.5765]
[['109.274200', '810.370600', '117.586701', '830.875600', '4']];109.2742;810.3706;117.586701;830.8756;1;[109.2742, 810.3706];[117.586701, 810.3706];[109.2742, 830.8756];[117.586701, 830.8756]
[['236.834200', '810.370600', '245.146701', '830.875600', '3']];236.8342;810.3706;245.146701;830.8756;1;[236.8342, 810.3706];[245.146701, 810.3706];[236.8342, 830.8756];[245.146701, 830.8756]
