element;xmin;ymin;xmax;ymax;ausrichtung;point_xmi_ymi;point_xma_ymi;point_xmi_yma;point_xma_yma
[['109.274200', '10.977500', '117.586701', '31.482500', '4']];109.2742;10.9775;117.586701;31.4825;1;[109.2742, 10.9775];[117.586701, 10.9775];[109.2742, 31.4825];[117.586701, 31.4825]
[['236.834200', '10.977500', '245.146701', '31.482500', '3']];236.8342;10.9775;245.146701;31.4825;1;[236.8342, 10.9775];[245.146701, 10.9775];[236.8342, 31.4825];[245.146701, 31.4825]
[['378.569200', '10.977500', '386.881701', '31.482500', '2']];378.5692;10.9775;386.881701;31.4825;1;[378.5692, 10.9775];[386.881701, 10.9775];[378.5692, 31.4825];[386.881701, 31.4825]
[['506.129200', '10.977500', '514.441701', '31.482500', '1']];506.1292;10.9775;514.441701;31.4825;1;[506.1292, 10.9775];[514.441701, 10.9775];[506.1292, 31.4825];[514.441701, 31.4825]
[['45.614200', '198.057500', '53.655872', '218.562500', 'E']];45.6142;198.0575;53.655872;218.5625;1;[45.6142, 198.0575];[53.655872, 198.0575];[45.6142, 218.5625];[53.655872, 218.5625]
[['570.029200', '198.057500', '578.070872', '218.562500', 'E']];570.0292;198.0575;578.070872;218.5625;1;[570.0292, 198.0575];[578.070872, 198.0575];[570.0292, 218.5625];[578.070872, 218.5625]
[['459.894800', '279.875459', '470.830800', '288.142537', '2x']];459.8948;279.875459;470.8308;288.142537;3;[459.8948, 279.875459];[470.8308, 279.875459];[459.8948, 288.142537];[470.8308, 288.142537]
[['451.894800', '226.069084', '462.830800', '241.580200', '0,00'], ['459.894800', '246.452687', '470.830800', '266.389049', '19,20'], ['459.894800', '241.580652', '470.830800', '244.236200', '-'], ['459.894800', '226.069084', '470.830800', '241.580200', '0,05']];451.8948;226.069084;470.8308;266.389049;1;[451.8948, 226.069084];[470.8308, 226.069084];[451.8948, 266.389049];[470.8308, 266.389049]
[['570.419200', '72.717500', '577.690039', '93.222500', 'F']];570.4192;72.7175;577.690039;93.2225;1;[570.4192, 72.7175];[577.690039, 72.7175];[570.4192, 93.2225];[577.690039, 93.2225]
[['421.329100', '246.841063', '432.265100', '251.685500', '+'], ['421.329100', '231.326384', '432.265100', '246.837500', '0,05'], ['429.329100', '253.897509', '440.265100', '273.837500', '15,15'], ['429.329100', '231.326384', '440.265100', '246.837500', '0,00']];421.3291;231.326384;440.2651;273.8375;1;[421.3291, 231.326384];[440.2651, 231.326384];[421.3291, 273.8375];[440.2651, 273.8375]
[['46.004200', '72.717500', '53.275039', '93.222500', 'F']];46.0042;72.7175;53.275039;93.2225;1;[46.0042, 72.7175];[53.275039, 72.7175];[46.0042, 93.2225];[53.275039, 93.2225]
[['260.993500', '312.752200', '265.837937', '323.688200', '+'], ['265.841500', '312.752200', '276.919273', '323.688200', '0,1'], ['247.709281', '320.752200', '258.778733', '331.688200', '1,5'], ['265.841500', '320.752200', '276.919273', '331.688200', '0,0']];247.709281;312.7522;276.919273;331.6882;3;[247.709281, 312.7522];[276.919273, 312.7522];[247.709281, 331.6882];[276.919273, 331.6882]
[['332.505500', '348.824200', '337.349937', '359.760200', '+'], ['337.353500', '348.824200', '348.431273', '359.760200', '0,1'], ['319.221281', '356.824200', '330.290733', '367.760200', '9,3'], ['337.353500', '356.824200', '348.431273', '367.760200', '0,0']];319.221281;348.8242;348.431273;367.7602;3;[319.221281, 348.8242];[348.431273, 348.8242];[319.221281, 367.7602];[348.431273, 367.7602]
[['245.726269', '356.824200', '256.798192', '367.760200', '4,8'], ['259.012576', '356.824200', '278.902066', '367.760200', '±0,05']];245.726269;356.8242;278.902066;367.7602;3;[245.726269, 356.8242];[278.902066, 356.8242];[245.726269, 367.7602];[278.902066, 367.7602]
[['568.454200', '339.792500', '579.620863', '360.297500', 'D']];568.4542;339.7925;579.620863;360.2975;1;[568.4542, 339.7925];[579.620863, 339.7925];[568.4542, 360.2975];[579.620863, 360.2975]
