Text;x;y
LAYOUT;420;297
Concepts principales and rules according to:;0;2
Dimensions according to:;0;-1
Tolerances of form, orientation, location and run-out:;0;-3
Edge finish according to:;0;-6
Surface texture according to:;0;-9
Limits according to:;0;-12
16% rule:;0;-15
ISO 8015;0;2
ISO 14405 1-3;0;-1
ISO 1101;0;-3
ISO 13715;0;-6
ISO 1302;0;-9
ISO 286-2;0;-12
not applicable;0;-15
Rz 16;4;3
2x;163;195
%%c;163;199
19,20;163;203
-;163;210
0,00;160;211
0,05;163;211
%%c;152;197
15,15;152;200
+;149;208
0,05;149;209
0,00;152;209
1,5;87;182
+;92;185
0,1;93;185
0,0;93;182
4,8;86;170
?0,05;91;170
2;113;179
+;116;182
0,1;117;182
0,0;117;179
9,3;112;170
+;117;173
0,1;119;173
0,0;119;170
%%c;140;158
4,5;140;161
+;137;167
+;140;167
0,040;137;168
0,028;140;168
A;17;31
A;202;31
B;17;75
B;202;75
C;17;125
C;202;125
D;17;175
D;202;175
E;17;225
E;202;225
F;17;269
F;202;269
4;39;9
4;39;291
3;84;9
3;84;291
2;134;9
2;134;291
1;179;9
1;179;291
BEATE GV12;160;42
GV_12;152;22
A4;191;24
Page 1/1;164;12
Scale: 2:1;120;12
Drawing nr.:;120;25
Designation:;120;46
Surface material/treatment:;21;47
Material: 1.4021;20;64
Surface Texture:;65;64
Hardened to 48 HRC +2/-0;86;47
Quality Standard: EN 10095;20;17
A;130;108
A;91;107
2x %%c <>;165;225
%%c<>;155;221
<>;101;180
<>;108;167
<>;105;177
<>;108;167
%%c<>;143;210
Layout1;0;0
Layout2;0;0
Model;0;0
LAYOUT;420;297
LAYOUT;420;297
Stahl;9;8
Adapterplatte;9;0
ENTGRATEN;0;1
UND SCHARFE;0;-1
KANTEN;0;-4
BRECHEN;0;-6
WENN NICHT ANDERS DEFINIERT:;0;1
BEMASSUNGEN SIND IN MILLIMETER;0;-1
OBERFL?CHENBESCHAFFENHEIT:;0;-4
TOLERANZEN:;0;-6
LINEAR: +0.1/-0.1;1;-9
WINKEL:;1;-11
0;172;108
25,00;185;99
39,90;192;99
160,10;252;96
175,00;260;96
200,00;272;96
0;154;128
25,00;145;141
39,90;145;148
160,10;142;208
175,00;142;216
200,00;142;228
R10,00;276;235
4 x;300;149
%%c;307;149
11,00;314;149
20,00;333;149
%%c;308;144
18,00;315;144
12,00;334;144
4 x M8 Gewinde durchgehend;0;4
20,00;47;241
A;17;31
A;412;31
B;17;75
B;412;75
C;17;125
C;412;125
D;17;175
D;412;175
E;17;225
E;412;225
F;17;269
F;412;269
8;42;9
8;42;291
7;89;9
7;89;291
6;139;9
6;139;291
5;189;9
5;189;291
4;239;9
4;239;291
3;289;9
3;289;291
2;339;9
2;339;291
1;387;9
1;387;291
GEWICHT:;285;12
Stahl;307;21
A3;401;24
BLATT 1 VON 1;374;12
MASSSTAB:1:2;330;12
ZEICHNUNGSNR.;330;25
BENENNUNG:;330;46
?NDERUNG;383;62
ZEICHNUNG NICHT SKALIEREN;342;62
WERKSTOFF:;285;25
DATUM;277;46
SIGNATUR;260;46
NAME;244;46
OBERFL?CHENG?TE:;264;63
QUALIT?T;230;25
PRODUKTION;230;29
GENEHMIGT;230;34
GEPR?FT;230;38
GEZEICHNET;230;42
<>;174;132
<>;174;132
<>;174;132
<>;174;132
<>;174;132
<>;174;132
<>;179;127
<>;179;127
<>;179;127
<>;179;127
<>;179;127
<>;179;127
<>;269;222
"4 x <> {\fGDT;x} 20,00\P{\fGDT;v}%%c 18,00 {\fGDT;x} 12,00\P";257;139
A;196;242
A;196;115
<>;71;237
SCHNITT A-A;75;115
Layout1;0;0
Layout2;0;0
Model;0;0
