,cluster,Text
0,0,n 35 + 0.2 + 0.01 É K # L n 35 H8 ( + - 0.039 ) É J # K 0 Rz 6.3
1,1,86.3
2,2,110
3,3,(209.74)
4,4,110
5,5,S ( 2 : 1 ) n 37 H12 ( ) + 0.25 -0 Ra 3.2
6,6,2x 140 ` 0.5
7,7,j Ø0.2 A B M5x0.8 - Thru 4x
8,8,50°
9,9,n 4 n 60 B.C . 0.1 2.5 `
10,10,13 MIN C-C ( 1 : 1 )
11,11,C
12,12,4x
13,13,M5x0.8
14,14,U Y Z
15,15,T
16,16,80 ` 0.3
17,17,b 0.1 B-C i 0.1 B-C
18,18,E
19,19,i 0.2 B-C f 0.1 E c 0.1
20,20,F
21,21,4x 90°
22,22,D
23,23,12.5 ` 2
24,24,n 51
25,25,2
26,26,5 R 2x
27,27,12.5 ` 2
28,28,A
29,29,E
30,30,r Ø0.05 g 0.03 J # K
31,31,B-C
32,32,B
33,33,A
34,34,X
35,35,Ra 1.6
36,36,g 0.03 r Ø0.05 C
37,37,c 0.1
38,38,15 B
39,39,0. 1 ` 37 n
40,40,17 ` 2
41,41,V
42,42,W
43,43,5 8x R 1
44,44,88.24
45,45,15
46,46,Ra 3.2 Ra 3.2
47,47,n 21 H7 ( + - 0.021 ) É 0 Rz 6.3
48,48,Ø9 - Thru j Ø0.1 A B-C 4x
49,49,11.7
50,50,5 4x R 2x 140 ` 0.5
51,51,2x 15
52,52,R5 2x 10°
53,53,Ra 1.6
54,54,F
55,55,8x R5 4x R5
56,56,16
57,57,K L
58,58,S
59,59,2x 15
60,60,C
61,61,27
62,62,A-A
63,63,J
64,64,Ra 1.6 b 0.05 C c 0.05 d 0.2 A
65,65,A
66,66,B
67,67,27
68,68,24.74
69,69,+ - 0.1 0
70,70,55
71,71,55
72,72,E
73,73,Q
74,74,21.3 + - 0 0.1
75,75,Ra 1.6
76,76,D
77,77,g 0.03 r Ø0.05 B r Ø0.05 g 0.03
78,78,39.3 + - 5 0 b 0.05 B c 0.05 54 ` 0.1 d 0.2 A
79,79,Ra 3.2 4
80,80,2x 2x 2x
81,81,25.25 15.25 2x 10 25.25
82,82,b 0.1 CZ B c 0.1 CZ C 4x
83,83,o 70
84,84,n 90 H10 ( + - 0.14 0 )
85,85,° ` 45 45°
86,86,Ra 1.6
87,87,n 137
88,88,i 0.1 A i 0.05 B 5 + - 0.03 0
89,89,7.5 MIN
90,90,n 21 H7 ( + - 0.021 ) É 0 Rz 6.3
91,91,7.5 MIN
92,92,B-C
93,93,+ 0 n 35 M7 ( - 0.025 ) É Rz 6.3
94,94,2x 13.8
95,95,B
96,96,50°
97,97,90 ° 4x
98,98,A
99,99,.6 1 Ra
100,100,f 0.03 D c 0.05
101,101,n 125 B-B
102,102,D Ra 0.8
103,103,c 0.05
104,104,Z ( 10 : 1 ) 0.15 + - 0 0.15
105,105,R ( 1 : 1 )
106,106,C
107,107,C
108,108,` ° 45 ° 45
109,109,n 29 ` 0.5
110,110,5° ` 4 45° Y ( 10 : 1 )
111,111,12
112,112,É
113,113,° 30
114,114,11
115,115,4x R5
116,116,0.1 1 + - 0.5
117,117,10
118,118,0.25 + - 0 0.25 X ( 10 : 1 )
119,119,.6 1 Ra
120,120,B
121,121,9
122,122,0.15 + - 0 0.15
123,123,30 ° 60 ° `
124,124,8
125,125,W ( 5 : 1 )
126,126,n 29 ` 0.5
127,127,7
128,128,0.8
129,129,45° ` 4 5°
130,130,30 °
131,131,0.25 + - 0 0.25
132,132,30°
133,133,6
134,134,0.8 ` 0.1
135,135,A
136,136,V ( 5 : 1 )
137,137,0.1 1 + - 0.5 T ( 5 : 1 )
138,138,.6 1 Ra
139,139,U ( 10 : 1 )
140,140,5
141,141,4
142,142,0° 60 ° ` 3
143,143,3
144,144,2
145,145,1
146,146,1
147,147,69.5
148,148,Raw part No: Ra 12.5 Surface texture: Surface/material treatment: All dimensions apply to the finished part including treatment. Material: 3.2315 Quality standard: G
149,149,according to DIN ISO 13715 exact) defined by CAD file:
150,150,Nominal geometry (theoretically H according to DIN ISO 1302
151,151,5152166_Rev04.stp
152,152,Cleanliness: Part has to be degreased and free of deposits. burrs and visual detectable particles. Delivery conditions: ISO 2768 - mH 2 - General tolerances according to: 1
153,153,detachable
154,154,2x n 134 - 0.2 CT + 0 n 132 ` 0.1
155,155,Ra 3.2 4x
156,156,10 MIN 15.1 ` 2
157,157,D
158,158,D
159,159,3
160,160,4
161,161,5
162,162,6
163,163,- - - - SECTION
164,164,20.06.2018 08.06.2018 03.05.2018 18.04.2018 DATE
165,165,KB 26.06.2018 KG KB 08.06.2018 DF KB 03.05.2018 DF KB 18.04.2018 DF DRAWN BY INSP. DATE INSP. BY
166,166,2 Tolerances changed 1 Start drawing. anodization removed. layout update DESCRIPTION Weight: Redesign Tolernaces changed REVISION HISTORY 4 3 Copyright The reproduction. distribution and utilization of this document as well as the communication of its contents to others without express authorization is prohibited. Offenders will be held liable for the payment of damages. All rights reserved in the event of the grant of a patent. utility model or design. (ISO 16016) REV. Scale: 2.29 kg 1 : 2 Unit: mm Projection: ISO 128 Method 1 Document type:
167,167,4x j Ø0.2 B 4x R50
168,168,7
169,169,Ra 1.6
170,170,lar)
171,171,1
172,172,(circu
173,173,G
174,174,M6x1
175,175,R
176,176,3 4x n 14
177,177,D-D
178,178,3.5
179,179,-0.2 -0.05 +0.2 Edge finish:
180,180,Ra 3.2
181,181,2
182,182,(circular)
183,183,4 + - 0.25 0
184,184,55 n 1 . B.C
185,185,4x R 50 4x R 6
186,186,69.5
187,187,20 °
188,188,45°
189,189,Q ( 2 : 1 ) Ra 1.6 1
190,190,1.6 H13 ( + - 0.14 0 )
191,191,surface/material EN 755-2
192,192,3.5
193,193,8
194,194,Description:
195,195,KB Drawing Approval Stamp 9 21.06.2018 Prototype release B2 -Sample
196,196,Lower
197,197,Housing
198,198,AC+90 Page: 1 / 1 A2
199,199,Part Number:
200,200,5152166
201,201,ENGINE Division 10
202,202,H
203,203,Component
204,204,drawing
205,205,11
