X1,Y1,X2,Y2,Text,X,Y,d
187.180925,815.746851,198.280758,833.135725,n,192.7308415,824.441288,False
198.340921,820.451207,213.724746,833.267817,35,206.0328335,826.859512,False
217.300913,816.840078,223.059244,825.960723,+,220.1800785,821.4004004999999,False
224.860910,816.360079,238.503158,825.480723,0.2,231.682034,820.9204010000001,False
217.300913,826.320075,223.059244,835.440719,+,220.1800785,830.8803969999999,False
224.860910,826.080075,244.143154,835.200719,0.01,234.50203199999999,830.640397,False
248.020901,815.746851,274.240367,833.135725,É,261.130634,824.441288,False
278.020877,820.451207,287.262692,833.267817,K,282.64178449999997,826.859512,False
287.260885,815.746851,318.472682,833.135725,#,302.8667835,824.441288,False
318.580873,820.451207,326.284694,833.267817,L,322.4327835,826.859512,False
1111.191445,494.016255,1124.007599,521.039792,86.3,1117.599522,507.5280235,False
857.632547,546.096232,870.448700,569.279772,110,864.0406235,557.688002,False
832.072557,519.305960,844.888711,570.839772,(209.74),838.480634,545.072866,False
977.620609,769.211228,1000.804027,782.027838,110,989.212318,775.619533,False
591.940763,812.619667,605.782090,831.815352,S,598.8614265,822.2175095,False
611.500765,812.619667,618.411053,831.815352,(,614.955909,822.2175095,False
624.220783,812.619667,635.758681,831.815352,2,629.989732,822.2175095,False
641.620794,812.619667,647.389743,831.815352,:,644.5052685,822.2175095,False
653.140762,812.619667,664.678659,831.815352,1,658.9097105000001,822.2175095,False
670.420772,812.619667,677.331060,831.815352,),673.875916,822.2175095,False
967.300113,799.331216,981.907984,812.147826,2x,974.6040485000001,805.739521,False
985.780606,799.331216,1008.844493,812.147826,140,997.3125495,805.739521,False
1010.619596,797.508989,1019.183611,809.911088,`,1014.9016035,803.7100385,False
1019.259592,800.880085,1032.901811,810.000729,0.5,1026.0807015,805.440407,False
769.540692,816.466850,785.632857,833.855725,j,777.5867745,825.1612875000001,False
791.260683,819.251208,821.404518,832.067818,Ø0.2,806.3326005,825.6595130000001,False
827.020669,819.251208,836.262484,832.067818,A,831.6415764999999,825.6595130000001,False
841.900663,819.251208,851.142478,832.067818,B,846.5215705,825.6595130000001,False
655.420738,835.066843,666.520571,852.455717,n,660.9706545,843.7612799999999,False
666.460733,839.771200,681.844529,852.587810,37,674.1526309999999,846.1795050000001,False
685.540726,839.771200,710.884518,852.587810,H12,698.212622,846.1795050000001,False
714.460714,835.634036,721.049117,853.935153,(,717.7549155,844.7845945,False
745.300702,835.634036,751.889104,853.935153,),748.5949029999999,844.7845945,False
719.740712,836.880070,725.499043,846.000715,+,722.6198775,841.4403925,False
726.100710,836.280071,745.382909,845.400715,0.25,735.7418095,840.840393,False
720.940712,845.160067,731.582956,855.120711,-0,726.2618339999999,850.140389,False
1563.832702,193.366806,1581.806998,213.119915,50°,1572.8198499999999,203.2433605,False
1418.610908,301.041533,1435.994681,310.919876,n,1427.3027945,305.9807045,False
1428.353547,294.223619,1441.166830,301.079880,4,1434.7601885,297.6517495,False
1451.610894,299.616547,1468.994668,310.319876,n,1460.3027809999999,304.96821150000005,False
1459.313896,284.771268,1474.166716,299.639880,60,1466.7403060000001,292.205574,False
1532.270923,381.936016,1545.087533,397.319841,13,1538.679228,389.6279285,False
1532.270923,352.755985,1545.087533,378.119847,MIN,1538.679228,365.437916,False
1657.540637,377.651385,1667.544521,390.467994,C,1662.542579,384.0596895,False
1513.659395,496.451337,1528.267324,509.267947,4x,1520.9633595,502.859642,False
1532.139392,496.451337,1577.643206,509.267947,M5x0.8,1554.891299,502.859642,False
1295.620462,614.979746,1310.603127,634.175431,U,1303.1117945,624.5775885,False
1315.059474,613.779747,1328.900801,632.975432,Y,1321.9801375,623.3775895,False
1324.059470,639.939736,1336.738707,659.135421,T,1330.3990884999998,649.5375785,False
1260.580303,614.619746,1273.259539,633.815431,Z,1266.919921,624.2175884999999,False
1275.099490,763.931230,1290.603344,776.747840,80,1282.851417,770.3395350000001,False
1292.379483,761.989003,1300.943498,774.391103,`,1296.6614905000001,768.190053,False
1300.899480,765.360099,1314.661698,774.480743,0.3,1307.780589,769.920421,False
1409.379436,651.586916,1430.463932,668.975791,b,1419.921684,660.2813535,False
1436.139426,653.891274,1455.483238,666.707884,0.1,1445.811332,660.299579,False
1461.219416,653.891274,1485.023195,666.707884,B-C,1473.1213054999998,660.299579,False
1411.899435,668.866909,1427.991600,686.255784,i,1419.9455175,677.5613464999999,False
1436.139426,673.811266,1455.483238,686.627876,0.1,1445.811332,680.2195710000001,False
1461.219416,673.811266,1485.023195,686.627876,B-C,1473.1213054999998,680.2195710000001,False
1657.900637,661.091271,1667.142452,673.907881,E,1662.5215445,667.4995759999999,False
1380.099448,768.706870,1396.191613,786.095744,i,1388.1455305,777.401307,False
1401.939439,773.531226,1421.163251,786.347836,0.2,1411.5513449999999,779.939531,False
1426.779429,773.531226,1450.703209,786.347836,B-C,1438.741319,779.939531,False
1658.260637,802.811214,1666.726527,815.627824,F,1662.493582,809.219519,False
978.460609,826.811205,993.188070,839.627815,4x,985.8243395,833.21951,False
998.860600,826.811205,1019.882984,839.627815,90°,1009.3717919999999,833.21951,False
769.540692,839.051200,814.924506,851.867810,M5x0.8,792.2325989999999,845.459505,False
818.740675,839.051200,823.354655,851.867810,-,821.047665,845.459505,False
827.260706,839.051200,855.724489,851.867810,Thru,841.4925975,845.459505,False
1657.540637,519.371328,1667.544521,532.187938,D,1662.542579,525.779633,False
1383.099447,729.106885,1398.737763,746.495760,f,1390.918605,737.8013225,False
1407.339437,731.411243,1426.563249,744.227853,0.1,1416.9513430000002,737.8195479999999,False
1432.179427,731.411243,1441.421242,744.227853,E,1436.8003345,737.8195479999999,False
1380.099448,746.386878,1401.637792,763.775753,c,1390.86862,755.0813155000001,False
1407.339437,751.211235,1426.563249,764.027845,0.1,1416.9513430000002,757.6195399999999,False
1185.099526,733.451242,1212.123371,746.267852,12.5,1198.6114484999998,739.859547,False
1213.899514,732.469015,1222.463529,744.871114,`,1218.1815215000001,738.6700645000001,False
1222.419511,735.840111,1227.901758,744.960755,2,1225.1606345,740.400433,False
986.860605,735.586883,997.960438,752.975757,n,992.4105215,744.28132,False
997.900601,740.291239,1013.404455,753.107849,51,1005.6525280000001,746.6995440000001,False
769.540692,799.331216,784.148564,812.147826,4x,776.8446280000001,805.739521,False
578.860768,857.411193,586.564590,870.227803,2,582.712679,863.8194980000001,False
1592.619358,266.534156,1598.214950,279.347249,5,1595.417154,272.9407025,False
1186.059526,705.611253,1212.963370,718.427863,12.5,1199.511448,712.019558,False
1214.859514,704.629026,1223.423529,717.031126,`,1219.1415215,710.830076,False
1223.379511,708.000122,1228.861757,717.120766,2,1226.1206339999999,712.560444,False
947.860621,708.219709,961.701948,727.415394,A,954.7812845000001,717.8175515,False
775.660690,748.811236,784.902505,761.627846,E,780.2815975000001,755.2195409999999,False
475.420810,787.186862,491.512974,804.575736,r,483.46689200000003,795.881299,False
499.780800,789.731220,537.484609,802.547830,Ø0.05,518.6327045,796.139525,False
543.100783,789.731220,567.024680,802.547830,B-C,555.0627314999999,796.139525,False
472.900811,807.346854,493.985307,824.735728,g,483.44305899999995,816.041291,False
505.060798,809.651212,532.084584,822.467822,0.03,518.572691,816.0595169999999,False
472.900811,829.451204,479.828708,842.267814,J,476.3647595,835.859509,False
479.860808,824.746847,511.072605,842.135721,#,495.4667065,833.441284,False
511.060796,829.451204,520.302610,842.267814,K,515.681703,835.859509,False
1657.900637,235.931441,1667.142452,248.748051,B,1662.5215445,242.339746,False
1392.939443,468.251348,1402.181258,481.067958,A,1397.5603505,474.659653,False
1296.339481,507.699789,1310.180808,526.895474,X,1303.2601445,517.2976315000001,False
1210.311051,781.535862,1223.127661,799.319680,Ra,1216.719356,790.4277709999999,False
1210.311051,758.495881,1223.127661,777.719693,1.6,1216.719356,768.107787,False
472.900811,759.946873,493.985307,777.335747,g,483.44305899999995,768.64131,False
505.060798,762.371231,532.084584,775.187841,0.03,518.572691,768.779536,False
179.020928,781.066865,190.120762,798.455739,n,184.57084500000002,789.761302,False
190.180924,785.771221,205.564749,798.587831,35,197.8728365,792.179526,False
209.140916,785.771221,226.804735,798.587831,H8,217.9728255,792.179526,False
230.380908,781.754057,236.969310,800.055175,(,233.67510900000002,790.904616,False
235.780906,783.000092,241.539237,792.120736,+,238.66007150000002,787.560414,False
236.980905,791.280089,240.264337,800.400733,-,238.622621,795.8404109999999,False
242.020903,782.520092,266.823171,791.640736,0.039,254.422037,787.080414,False
266.740893,781.754057,273.329296,800.055175,),270.0350945,790.904616,False
277.180889,781.066865,303.400355,798.455739,É,290.290622,789.761302,False
307.300866,785.771221,314.228763,798.587831,J,310.7648145,792.179526,False
314.260874,781.066865,345.472672,798.455739,#,329.86677299999997,789.761302,False
345.460862,785.771221,354.702677,798.587831,K,350.0817695,792.179526,False
242.020903,792.240088,247.503150,801.360733,0,244.7620265,796.8004105,False
771.100692,705.946895,792.639036,723.335769,c,781.869864,714.641332,False
798.340681,710.771251,817.564493,723.587861,0.1,807.952587,717.179556,False
729.820708,717.851248,745.204504,730.667858,15,737.512606,724.2595530000001,False
475.420810,739.786881,491.512974,757.175755,r,483.46689200000003,748.481318,False
499.780800,742.451239,537.484609,755.267848,Ø0.05,518.6327045,748.8595435,False
543.100783,742.451239,553.104666,755.267848,C,548.1027245,748.8595435,False
1620.699352,247.680578,1627.017441,260.400871,0.,1623.8583965,254.0407245,False
1627.059347,252.960576,1631.295530,262.080869,1,1629.1774384999999,257.52072250000003,False
1437.711315,417.816289,1450.527468,433.199827,17,1444.1193915,425.508058,False
1435.648734,407.475819,1448.050833,416.039834,`,1441.8497835,411.75782649999996,False
1439.019830,401.917590,1448.140474,407.399837,2,1443.580152,404.6587135,False
1268.859492,438.819817,1282.700819,458.015501,V,1275.7801555,448.41765899999996,False
1270.659492,468.579805,1290.249016,487.775490,W,1280.454254,478.17764750000003,False
1178.379535,455.292437,1185.925189,468.107659,5,1182.152362,461.70004800000004,False
1142.859506,461.052432,1157.205159,475.427650,8x,1150.0323325,468.240041,False
1160.979536,458.892429,1170.778029,471.707651,R,1165.8787825,465.30003999999997,False
1170.819542,456.852432,1178.365196,469.667654,1,1174.592369,463.260043,False
1111.191445,613.776202,1124.007599,648.479741,88.24,1117.599522,631.1279715000001,False
729.700705,700.179712,743.542031,719.375397,B,736.621368,709.7775545,False
637.660745,717.851248,653.044541,730.667858,15,645.352643,724.2595530000001,False
698.992610,756.576159,711.808764,774.239690,Ra,705.4006870000001,765.4079245,False
698.992610,733.416162,711.808764,752.639696,3.2,705.4006870000001,743.027929,False
223.540911,733.906883,234.640744,751.295758,n,229.0908275,742.6013204999999,False
234.580906,738.611240,249.964731,751.427850,21,242.2728185,745.019545,False
253.540899,738.611240,271.324717,751.427850,H7,262.432808,745.019545,False
274.780890,734.474076,281.369292,752.775194,(,278.075091,743.624635,False
280.180888,735.840111,285.939219,744.960755,+,283.0600535,740.400433,False
281.380887,744.000108,284.664319,753.120752,-,283.022603,748.56043,False
286.540885,735.120111,311.223154,744.240755,0.021,298.8820195,739.680433,False
311.260875,734.474076,317.849278,752.775194,),314.55507650000004,743.624635,False
321.700871,733.906883,347.920337,751.295758,É,334.810604,742.6013204999999,False
286.540885,744.960107,292.023132,754.080751,0,289.28200849999996,749.5204289999999,False
1613.979354,238.909222,1620.597104,251.311310,`,1617.288229,245.110266,False
