,Text,X,Y,cluster
0,CELLSTYLEMAP,210,148,0
1,\fArial|b1|i0;\H2.0000;Angelehnt an HN810,-134,50,1
2,\fArial|b1|i0;\H2.0000;Losgröße (Stk.),-123,45,1
3,\fArial|b1|i0;\H2.0000;von,-129,42,1
4,\fArial|b1|i0;\H2.0000;bis,-117,41,1
5,\fArial|b1|i0;\H2.0000;Stichprobengröße (Stk.),-98,44,2
6,\fArial|b0|i0;\H2.0000;9,-129,37,1
7,\fArial|b0|i0;\H2.0000;15,-117,37,1
8,\fArial|b0|i0;\H2.0000;Vollprüfung,-98,37,2
9,\fArial|b0|i0;\H2.0000;16,-129,33,1
10,\fArial|b0|i0;\H2.0000;26,-129,29,1
11,\fArial|b0|i0;\H2.0000;51,-129,25,1
12,\fArial|b0|i0;\H2.0000;25,-117,33,1
13,\fArial|b0|i0;\H2.0000;50,-117,29,1
14,\fArial|b0|i0;\H2.0000;90,-117,25,1
15,\fArial|b0|i0;\H2.0000;13,-98,33,2
16,\fArial|b0|i0;\H2.0000;13,-98,29,2
17,\fArial|b0|i0;\H2.0000;13,-98,25,2
18,\fArial|b0|i0;\H2.0000;150,-117,21,1
19,\fArial|b0|i0;\H2.0000;91,-129,21,1
20,\fArial|b0|i0;\H2.0000;13,-98,21,2
21,\fArial|b0|i0;\H2.0000;280,-117,17,1
22,\fArial|b0|i0;\H2.0000;151,-129,17,1
23,\fArial|b0|i0;\H2.0000;50,-98,17,2
24,\fArial|b0|i0;\H2.0000;500,-117,13,1
25,\fArial|b0|i0;\H2.0000;281,-129,13,1
26,\fArial|b0|i0;\H2.0000;50,-98,13,2
27,\fArial|b0|i0;\H2.0000;1200,-117,9,1
28,\fArial|b0|i0;\H2.0000;501,-129,9,1
29,\fArial|b0|i0;\H2.0000;80,-98,9,2
30,\fArial|b0|i0;\H2.0000;3200,-117,5,1
31,\fArial|b0|i0;\H2.0000;1201,-129,5,1
32,\fArial|b0|i0;\H2.0000;125,-98,5,2
33,\fArial|b0|i0;\H2.0000;1000,-117,1,1
34,\fArial|b0|i0;\H2.0000;3201,-129,1,1
35,\fArial|b0|i0;\H2.0000;200,-98,1,2
36,\fArial|b1|i0;\H2.5000;Zu überprüfender Anlieferungszustand:,-84,26,2
37,\fArial|b0|i0;\H2.5000;Reinheitsanforderung:,-84,20,2
38,\fArial|b0|i0;\H2.5000;Verpackungsvorschrift:,-84,14,2
39,"entfettet, ultraschallgereinigt",-47,17,3
40,separat verpackt,-47,11,3
41,\fArial|b0|i0;\H2.5000;Allg. Anforderungen:,-84,8,2
42,"alle Kanten entgratet,",-47,5,3
43,gehärtet auf 48 HRC +2/-0,-47,1,3
44,\fArial|b0|i0;\H2.0000;All dimensions apply to the finished part including surface/material treatment.,-44,54,3
45,\fArial|b0|i0;\H2.0000;Surface texture:,-44,31,3
