X1,Y1,X2,Y2,Text,Xavg,Yavg,again
67.790402,11.570546,73.239534,20.626588,1,70.51496800000001,16.098567000000003,False
268.068994,11.450546,273.518126,20.506588,3,270.79355999999996,15.978567,False
167.989461,11.570546,173.438592,20.626588,2,170.7140265,16.098567000000003,False
368.268523,11.450546,373.717654,20.506588,4,370.9930885,15.978567,False
468.348387,11.450546,473.797518,20.506588,5,471.07295250000004,15.978567,False
568.547916,11.450546,573.997047,20.506588,6,571.2724814999999,15.978567,False
122.630951,46.695792,131.613209,60.279874,Z,127.12208000000001,53.487832999999995,False
135.590904,46.695792,140.486308,60.279874,(,138.03860600000002,53.487832999999995,False
144.590872,46.695792,160.924548,60.279874,20,152.75770999999997,53.487832999999995,False
164.990792,46.695792,169.077646,60.279874,:,167.034219,53.487832999999995,False
173.150760,46.695792,181.324468,60.279874,1,177.237614,53.487832999999995,False
185.390712,46.695792,190.286116,60.279874,),187.838414,53.487832999999995,False
120.761894,84.160811,129.817431,91.199965,R,125.28966249999999,87.680388,False
121.481894,78.819233,130.537431,84.239966,2,126.00966249999999,81.52959949999999,False
646.430741,113.055766,656.236251,126.639848,X,651.333496,119.847807,False
660.350702,113.055766,665.246107,126.639848,(,662.7984045000001,119.847807,False
669.350715,113.055766,685.564420,126.639848,10,677.4575675000001,119.847807,False
689.630708,113.055766,693.717562,126.639848,:,691.674135,119.847807,False
697.910705,113.055766,706.084413,126.639848,1,701.997559,119.847807,False
710.150701,113.055766,715.046105,126.639848,),712.598403,119.847807,False
475.533479,190.281023,487.801050,198.119921,n,481.6672645,194.200472,False
478.841359,179.470821,487.897401,190.319924,11,483.36938,184.8953725,False
150.110940,166.850483,169.239999,175.906526,1.65,159.67546950000002,171.37850450000002,False
108.590957,216.735724,118.396466,230.319806,Y,113.4937115,223.527765,False
122.390911,216.735724,127.286315,230.319806,(,124.83861300000001,223.527765,False
131.390879,216.735724,147.724555,230.319806,10,139.55771700000003,223.527765,False
151.790799,216.735724,155.877653,230.319806,:,153.834226,223.527765,False
159.950767,216.735724,168.124475,230.319806,1,164.037621,223.527765,False
172.310718,216.735724,177.206123,230.319806,),174.7584205,223.527765,False
141.830943,335.450416,147.819107,344.506458,F,144.82502499999998,339.978437,False
356.870857,357.410407,362.319989,366.466450,2,359.595423,361.9384285,False
363.950855,355.365249,368.017384,361.799805,+,365.9841195,358.582527,False
364.790854,361.245246,367.109611,367.679803,-,365.95023249999997,364.4625245,False
368.390849,355.005249,378.142400,361.439805,0.1,373.26662450000003,358.222527,False
368.390849,361.845246,372.262407,368.279803,0,370.326628,365.0625245,False
144.590942,406.782692,157.633904,411.906450,Edge,151.112423,409.344571,False
159.230977,406.782692,173.852474,411.906450,finish:,166.54172549999998,409.344571,False
165.590934,413.627848,180.091392,421.373092,-0.2,172.841163,417.50046999999995,False
165.590934,421.547845,184.771375,429.293089,-0.05,175.1811545,425.42046700000003,False
63.230575,420.770382,75.090844,429.826424,Rz,69.1607095,425.298403,False
77.870510,420.770382,88.839620,429.826424,16,83.355065,425.298403,False
42.470583,443.753959,51.160863,447.626414,valid,46.815723,445.6901865,False
52.190604,443.753959,57.186258,447.626414,for,54.688431,445.6901865,False
58.310621,443.753959,76.480937,447.626414,machined,67.395779,445.6901865,False
77.630682,443.753959,91.480973,447.626414,surface,84.55582749999999,445.6901865,False
42.470583,447.833957,60.640885,451.706412,according,51.555734,449.7701845,False
61.790626,447.833957,65.320897,451.706412,to,63.5557615,449.7701845,False
66.470642,447.833957,73.696647,451.706412,DIN,70.08364449999999,449.7701845,False
74.870665,447.833957,82.091369,451.706412,ISO,78.48101700000001,449.7701845,False
83.270682,447.833957,92.560972,451.706412,1302,87.91582700000001,449.7701845,False
193.670836,421.547845,210.211285,429.293089,+0.2,201.9410605,425.42046700000003,False
375.230850,378.050399,388.719939,387.106441,9.3,381.9753945,382.57842000000005,False
390.470845,376.725240,394.537373,383.159797,+,392.50410899999997,379.9425185,False
391.310843,382.485238,393.629600,388.919794,-,392.4702215,385.702516,False
394.910838,376.245240,404.662389,382.679797,0.1,399.78661350000004,379.4625185,False
394.910838,383.205238,398.782396,389.639794,0,396.84661700000004,386.422516,False
302.030879,379.850398,315.639967,388.906441,4.8,308.835423,384.37841949999995,False
316.790873,379.143886,322.841711,387.897126,`,319.816292,383.520506,False
322.910871,381.525238,336.502426,387.959795,0.05,329.70664850000003,384.74251649999997,False
823.066288,343.730413,830.142318,352.786455,D,826.6043030000001,348.25843399999997,False
463.790814,439.010375,470.327812,448.066417,B,467.059313,443.53839600000003,False
159.710792,447.833957,177.881101,451.706412,according,168.7959465,449.7701845,False
178.910839,447.833957,182.561102,451.706412,to,180.7359705,449.7701845,False
183.590840,447.833957,190.816838,451.706412,DIN,187.203839,449.7701845,False
192.110848,447.833957,199.331545,451.706412,ISO,195.72119650000002,449.7701845,False
200.390858,447.833957,212.081156,451.706412,13715,206.236007,449.7701845,False
42.470927,454.902672,67.652427,460.026430,Concepts.,55.061677,457.46455100000003,False
69.230970,454.902672,95.883431,460.026430,principales,82.5572005,457.46455100000003,False
97.551015,454.902672,106.753957,460.026430,and,102.15248600000001,457.46455100000003,False
108.351030,454.902672,120.483471,460.026430,rules,114.4172505,457.46455100000003,False
122.031054,454.902672,146.354039,460.026430,according,134.1925465,457.46455100000003,False
147.951113,454.902672,154.172589,460.026430,to:,151.061851,457.46455100000003,False
175.190929,454.902672,184.664823,460.026430,ISO,179.92787600000003,457.46455100000003,False
186.350930,454.902672,198.793897,460.026430,8015,192.57241349999998,457.46455100000003,False
42.470458,461.142670,71.642916,466.266428,Dimensions,57.056687,463.70454900000004,False
73.310499,461.142670,97.513463,466.266428,according,85.411981,463.70454900000004,False
98.990536,461.142670,105.212012,466.266428,to:,102.101274,463.70454900000004,False
175.190126,461.142670,184.904021,466.266428,ISO,180.0470735,463.70454900000004,False
186.470128,461.142670,202.033106,466.266428,14405,194.251617,463.70454900000004,False
203.510179,461.142670,211.633124,466.266428,1-3,207.5716515,463.70454900000004,False
42.470458,467.502667,70.082908,472.626425,Tolerances,56.276683000000006,470.06454599999995,False
71.630491,467.502667,76.411963,472.626425,of,74.02122700000001,470.06454599999995,False
77.990506,467.502667,90.691997,472.626425,form.,84.3412515,470.06454599999995,False
92.150540,467.502667,119.852053,472.626425,orientation.,106.0012965,470.06454599999995,False
121.430596,467.502667,140.713571,472.626425,location,131.0720835,470.06454599999995,False
