;cluster;element
0;0;[['187.180925', '815.746851', '198.280758', '833.135725', 'n'], ['198.340921', '820.451207', '213.724746', '833.267817', '35']] [['217.300913', '816.840078', '223.059244', '825.960723', '+'], ['224.860910', '816.360079', '238.503158', '825.480723', '0,2'], ['217.300913', '826.320075', '223.059244', '835.440719', '+'], ['224.860910', '826.080075', '244.143154', '835.200719', '0,01']]
1;1;[['248.020901', '815.746851', '274.240367', '833.135725', 'É'], ['278.020877', '820.451207', '287.262692', '833.267817', 'K'], ['287.260885', '815.746851', '318.472682', '833.135725', '#'], ['318.580873', '820.451207', '326.284694', '833.267817', 'L']]
2;2;[['1111.191445', '494.016255', '1124.007599', '521.039792', '86,3']]
3;3;[['857.632547', '546.096232', '870.448700', '569.279772', '110']]
4;4;[['832.072557', '519.305960', '844.888711', '570.839772', '(209,74)']]
5;5;[['977.620609', '769.211228', '1000.804027', '782.027838', '110']]
6;6;[['591.940763', '812.619667', '605.782090', '831.815352', 'S'], ['611.500765', '812.619667', '618.411053', '831.815352', '('], ['624.220783', '812.619667', '635.758681', '831.815352', '2'], ['641.620794', '812.619667', '647.389743', '831.815352', ':'], ['653.140762', '812.619667', '664.678659', '831.815352', '1'], ['670.420772', '812.619667', '677.331060', '831.815352', ')']]
7;7;[['967.300113', '799.331216', '981.907984', '812.147826', '2x'], ['985.780606', '799.331216', '1008.844493', '812.147826', '140'], ['1010.619596', '797.508989', '1019.183611', '809.911088', '`'], ['1019.259592', '800.880085', '1032.901811', '810.000729', '0,5']]
8;8;[['769.540692', '816.466850', '785.632857', '833.855725', 'j'], ['791.260683', '819.251208', '821.404518', '832.067818', 'Ø0,2'], ['827.020669', '819.251208', '836.262484', '832.067818', 'A'], ['841.900663', '819.251208', '851.142478', '832.067818', 'B']] [['769.540692', '839.051200', '814.924506', '851.867810', 'M5x0,8'], ['818.740675', '839.051200', '823.354655', '851.867810', '-'], ['827.260706', '839.051200', '855.724489', '851.867810', 'Thru']]
9;9;[['655.420738', '835.066843', '666.520571', '852.455717', 'n'], ['666.460733', '839.771200', '681.844529', '852.587810', '37'], ['685.540726', '839.771200', '710.884518', '852.587810', 'H12'], ['714.460714', '835.634036', '721.049117', '853.935153', '(']]
10;10;[['745.300702', '835.634036', '751.889104', '853.935153', ')']]
11;11;[['719.740712', '836.880070', '725.499043', '846.000715', '+'], ['726.100710', '836.280071', '745.382909', '845.400715', '0,25'], ['720.940712', '845.160067', '731.582956', '855.120711', '-0']]
12;12;[['1563.832702', '193.366806', '1581.806998', '213.119915', '50°']]
13;13;[['1418.610908', '301.041533', '1435.994681', '310.919876', 'n'], ['1428.353547', '294.223619', '1441.166830', '301.079880', '4']]
14;14;[['1451.610894', '299.616547', '1468.994668', '310.319876', 'n'], ['1459.313896', '284.771268', '1474.166716', '299.639880', '60']]
15;15;[['1532.270923', '381.936016', '1545.087533', '397.319841', '13'], ['1532.270923', '352.755985', '1545.087533', '378.119847', 'MIN']]
16;16;[['1657.540637', '377.651385', '1667.544521', '390.467994', 'C']]
17;17;[['1513.659395', '496.451337', '1528.267324', '509.267947', '4x'], ['1532.139392', '496.451337', '1577.643206', '509.267947', 'M5x0.8']]
18;18;[['1295.620462', '614.979746', '1310.603127', '634.175431', 'U'], ['1315.059474', '613.779747', '1328.900801', '632.975432', 'Y'], ['1324.059470', '639.939736', '1336.738707', '659.135421', 'T']]
19;19;[['1260.580303', '614.619746', '1273.259539', '633.815431', 'Z']]
20;20;[['1275.099490', '763.931230', '1290.603344', '776.747840', '80'], ['1292.379483', '761.989003', '1300.943498', '774.391103', '`'], ['1300.899480', '765.360099', '1314.661698', '774.480743', '0,3']]
21;21;[['1409.379436', '651.586916', '1430.463932', '668.975791', 'b'], ['1436.139426', '653.891274', '1455.483238', '666.707884', '0,1'], ['1461.219416', '653.891274', '1485.023195', '666.707884', 'B-C'], ['1411.899435', '668.866909', '1427.991600', '686.255784', 'i'], ['1436.139426', '673.811266', '1455.483238', '686.627876', '0,1'], ['1461.219416', '673.811266', '1485.023195', '686.627876', 'B-C']]
22;22;[['1657.900637', '661.091271', '1667.142452', '673.907881', 'E']]
23;23;[['1380.099448', '768.706870', '1396.191613', '786.095744', 'i'], ['1401.939439', '773.531226', '1421.163251', '786.347836', '0,2'], ['1426.779429', '773.531226', '1450.703209', '786.347836', 'B-C']]
24;24;[['1658.260637', '802.811214', '1666.726527', '815.627824', 'F']]
25;25;[['978.460609', '826.811205', '993.188070', '839.627815', '4x'], ['998.860600', '826.811205', '1019.882984', '839.627815', '90°']]
26;26;[['1657.540637', '519.371328', '1667.544521', '532.187938', 'D']]
27;27;[['1383.099447', '729.106885', '1398.737763', '746.495760', 'f'], ['1407.339437', '731.411243', '1426.563249', '744.227853', '0,1'], ['1432.179427', '731.411243', '1441.421242', '744.227853', 'E'], ['1380.099448', '746.386878', '1401.637792', '763.775753', 'c'], ['1407.339437', '751.211235', '1426.563249', '764.027845', '0,1']]
28;28;[['1185.099526', '733.451242', '1212.123371', '746.267852', '12,5'], ['1213.899514', '732.469015', '1222.463529', '744.871114', '`'], ['1222.419511', '735.840111', '1227.901758', '744.960755', '2']]
29;29;[['986.860605', '735.586883', '997.960438', '752.975757', 'n'], ['997.900601', '740.291239', '1013.404455', '753.107849', '51']]
30;30;[['769.540692', '799.331216', '784.148564', '812.147826', '4x']]
31;31;[['578.860768', '857.411193', '586.564590', '870.227803', '2']]
32;32;[['1592.619358', '266.534156', '1598.214950', '279.347249', '5']] [['1585.179366', '259.574162', '1592.445584', '272.387255', 'R']] [['1571.859407', '246.974197', '1582.531410', '265.067288', '2x']]
33;33;[['1186.059526', '705.611253', '1212.963370', '718.427863', '12,5'], ['1214.859514', '704.629026', '1223.423529', '717.031126', '`'], ['1223.379511', '708.000122', '1228.861757', '717.120766', '2']]
34;34;[['947.860621', '708.219709', '961.701948', '727.415394', 'A']]
35;35;[['775.660690', '748.811236', '784.902505', '761.627846', 'E']]
36;36;[['475.420810', '787.186862', '491.512974', '804.575736', 'r'], ['499.780800', '789.731220', '537.484609', '802.547830', 'Ø0,05'], ['543.100783', '789.731220', '567.024680', '802.547830', 'B-C']]
37;37;[['472.900811', '807.346854', '493.985307', '824.735728', 'g'], ['505.060798', '809.651212', '532.084584', '822.467822', '0,03'], ['472.900811', '829.451204', '479.828708', '842.267814', 'J'], ['479.860808', '824.746847', '511.072605', '842.135721', '#'], ['511.060796', '829.451204', '520.302610', '842.267814', 'K']]
38;38;[['1657.900637', '235.931441', '1667.142452', '248.748051', 'B']]
39;39;[['1392.939443', '468.251348', '1402.181258', '481.067958', 'A']]
40;40;[['1296.339481', '507.699789', '1310.180808', '526.895474', 'X']]
41;41;[['1210.311051', '781.535862', '1223.127661', '799.319680', 'Ra'], ['1210.311051', '758.495881', '1223.127661', '777.719693', '1,6']]
42;42;[['472.900811', '759.946873', '493.985307', '777.335747', 'g'], ['505.060798', '762.371231', '532.084584', '775.187841', '0,03']]
43;43;[['179.020928', '781.066865', '190.120762', '798.455739', 'n'], ['190.180924', '785.771221', '205.564749', '798.587831', '35'], ['209.140916', '785.771221', '226.804735', '798.587831', 'H8'], ['230.380908', '781.754057', '236.969310', '800.055175', '('], ['235.780906', '783.000092', '241.539237', '792.120736', '+'], ['236.980905', '791.280089', '240.264337', '800.400733', '-'], ['242.020903', '782.520092', '266.823171', '791.640736', '0,039'], ['266.740893', '781.754057', '273.329296', '800.055175', ')'], ['277.180889', '781.066865', '303.400355', '798.455739', 'É'], ['307.300866', '785.771221', '314.228763', '798.587831', 'J'], ['314.260874', '781.066865', '345.472672', '798.455739', '#'], ['345.460862', '785.771221', '354.702677', '798.587831', 'K'], ['242.020903', '792.240088', '247.503150', '801.360733', '0']]
44;44;[['771.100692', '705.946895', '792.639036', '723.335769', 'c'], ['798.340681', '710.771251', '817.564493', '723.587861', '0,1']]
45;45;[['729.820708', '717.851248', '745.204504', '730.667858', '15']]
46;46;[['475.420810', '739.786881', '491.512974', '757.175755', 'r'], ['499.780800', '742.451239', '537.484609', '755.267848', 'Ø0,05'], ['543.100783', '742.451239', '553.104666', '755.267848', 'C']]
47;47;[['1620.699352', '247.680578', '1627.017441', '260.400871', '0,'], ['1627.059347', '252.960576', '1631.295530', '262.080869', '1']] [['1613.979354', '238.909222', '1620.597104', '251.311310', '`']] [['1599.939360', '229.571512', '1611.892307', '247.188037', '37']] [['1591.299363', '217.787433', '1599.876461', '235.175900', 'n']]
