0;1;[['67.790402', '11.570546', '73.239534', '20.626588', '1']]
1;1;[['268.068994', '11.450546', '273.518126', '20.506588', '3']]
2;1;[['167.989461', '11.570546', '173.438592', '20.626588', '2']]
3;1;[['368.268523', '11.450546', '373.717654', '20.506588', '4']]
4;1;[['468.348387', '11.450546', '473.797518', '20.506588', '5']]
5;1;[['568.547916', '11.450546', '573.997047', '20.506588', '6']]
6;3;[['122.630951', '46.695792', '131.613209', '60.279874', 'Z'], ['135.590904', '46.695792', '140.486308', '60.279874', '('], ['144.590872', '46.695792', '160.924548', '60.279874', '20'], ['164.990792', '46.695792', '169.077646', '60.279874', ':'], ['173.150760', '46.695792', '181.324468', '60.279874', '1'], ['185.390712', '46.695792', '190.286116', '60.279874', ')']]
7;3;[['120.761894', '84.160811', '129.817431', '91.199965', 'R'], ['121.481894', '78.819233', '130.537431', '84.239966', '2']]
8;3;[['646.430741', '113.055766', '656.236251', '126.639848', 'X'], ['660.350702', '113.055766', '665.246107', '126.639848', '('], ['669.350715', '113.055766', '685.564420', '126.639848', '10'], ['689.630708', '113.055766', '693.717562', '126.639848', ':'], ['697.910705', '113.055766', '706.084413', '126.639848', '1'], ['710.150701', '113.055766', '715.046105', '126.639848', ')']]
9;1;[['475.533479', '190.281023', '487.801050', '198.119921', 'n'], ['478.841359', '179.470821', '487.897401', '190.319924', '11']]
10;3;[['150.110940', '166.850483', '169.239999', '175.906526', '1,65']]
11;3;[['108.590957', '216.735724', '118.396466', '230.319806', 'Y'], ['122.390911', '216.735724', '127.286315', '230.319806', '('], ['131.390879', '216.735724', '147.724555', '230.319806', '10'], ['151.790799', '216.735724', '155.877653', '230.319806', ':'], ['159.950767', '216.735724', '168.124475', '230.319806', '1'], ['172.310718', '216.735724', '177.206123', '230.319806', ')']]
12;1;[['141.830943', '335.450416', '147.819107', '344.506458', 'F']]
13;3;[['356.870857', '357.410407', '362.319989', '366.466450', '2'], ['363.950855', '355.365249', '368.017384', '361.799805', '+'], ['364.790854', '361.245246', '367.109611', '367.679803', '-'], ['368.390849', '355.005249', '378.142400', '361.439805', '0,1'], ['368.390849', '361.845246', '372.262407', '368.279803', '0']]
14;3;[['144.590942', '406.782692', '157.633904', '411.906450', 'Edge'], ['159.230977', '406.782692', '173.852474', '411.906450', 'finish:']]
15;3;[['165.590934', '413.627848', '180.091392', '421.373092', '-0,2'], ['165.590934', '421.547845', '184.771375', '429.293089', '-0,05']]
16;3;[['63.230575', '420.770382', '75.090844', '429.826424', 'Rz'], ['77.870510', '420.770382', '88.839620', '429.826424', '16']]
17;3;[['42.470583', '443.753959', '51.160863', '447.626414', 'valid'], ['52.190604', '443.753959', '57.186258', '447.626414', 'for'], ['58.310621', '443.753959', '76.480937', '447.626414', 'machined'], ['77.630682', '443.753959', '91.480973', '447.626414', 'surface'], ['42.470583', '447.833957', '60.640885', '451.706412', 'according'], ['61.790626', '447.833957', '65.320897', '451.706412', 'to'], ['66.470642', '447.833957', '73.696647', '451.706412', 'DIN'], ['74.870665', '447.833957', '82.091369', '451.706412', 'ISO'], ['83.270682', '447.833957', '92.560972', '451.706412', '1302']]
18;3;[['193.670836', '421.547845', '210.211285', '429.293089', '+0,2']]
19;3;[['375.230850', '378.050399', '388.719939', '387.106441', '9,3'], ['390.470845', '376.725240', '394.537373', '383.159797', '+'], ['391.310843', '382.485238', '393.629600', '388.919794', '-'], ['394.910838', '376.245240', '404.662389', '382.679797', '0,1'], ['394.910838', '383.205238', '398.782396', '389.639794', '0']]
20;3;[['302.030879', '379.850398', '315.639967', '388.906441', '4,8'], ['316.790873', '379.143886', '322.841711', '387.897126', '`'], ['322.910871', '381.525238', '336.502426', '387.959795', '0,05']]
21;3;[['823.066288', '343.730413', '830.142318', '352.786455', 'D']]
22;3;[['463.790814', '439.010375', '470.327812', '448.066417', 'B']]
23;3;[['159.710792', '447.833957', '177.881101', '451.706412', 'according'], ['178.910839', '447.833957', '182.561102', '451.706412', 'to'], ['183.590840', '447.833957', '190.816838', '451.706412', 'DIN'], ['192.110848', '447.833957', '199.331545', '451.706412', 'ISO'], ['200.390858', '447.833957', '212.081156', '451.706412', '13715']]
24;3;[['42.470927', '454.902672', '67.652427', '460.026430', 'Concepts,'], ['69.230970', '454.902672', '95.883431', '460.026430', 'principales'], ['97.551015', '454.902672', '106.753957', '460.026430', 'and'], ['108.351030', '454.902672', '120.483471', '460.026430', 'rules'], ['122.031054', '454.902672', '146.354039', '460.026430', 'according'], ['147.951113', '454.902672', '154.172589', '460.026430', 'to:'], ['175.190929', '454.902672', '184.664823', '460.026430', 'ISO'], ['186.350930', '454.902672', '198.793897', '460.026430', '8015'], ['42.470458', '461.142670', '71.642916', '466.266428', 'Dimensions'], ['73.310499', '461.142670', '97.513463', '466.266428', 'according'], ['98.990536', '461.142670', '105.212012', '466.266428', 'to:'], ['175.190126', '461.142670', '184.904021', '466.266428', 'ISO'], ['186.470128', '461.142670', '202.033106', '466.266428', '14405'], ['203.510179', '461.142670', '211.633124', '466.266428', '1-3'], ['42.470458', '467.502667', '70.082908', '472.626425', 'Tolerances'], ['71.630491', '467.502667', '76.411963', '472.626425', 'of'], ['77.990506', '467.502667', '90.691997', '472.626425', 'form,'], ['92.150540', '467.502667', '119.852053', '472.626425', 'orientation,'], ['121.430596', '467.502667', '140.713571', '472.626425', 'location'], ['142.310645', '467.502667', '151.633601', '472.626425', 'and'], ['153.230674', '467.502667', '172.411951', '472.626425', 'run-out:'], ['175.190929', '467.502667', '184.784823', '472.626425', 'ISO'], ['186.350930', '467.502667', '198.793897', '472.626425', '1101'], ['42.470335', '473.742665', '55.513283', '478.866423', 'Edge'], ['57.110352', '473.742665', '70.153299', '478.866423', 'finish'], ['71.630372', '473.742665', '95.953336', '478.866423', 'according'], ['97.550409', '473.742665', '103.771885', '478.866423', 'to:'], ['175.189944', '473.742665', '184.903839', '478.866423', 'ISO'], ['186.469946', '473.742665', '202.032924', '478.866423', '13715'], ['42.470335', '480.102662', '61.753292', '485.226420', 'Surface'], ['63.350366', '480.102662', '80.353326', '485.226420', 'texture'], ['81.950400', '480.102662', '106.273363', '485.226420', 'according'], ['107.750436', '480.102662', '113.971912', '485.226420', 'to:'], ['175.430930', '480.102662', '185.024825', '485.226420', 'ISO'], ['186.590931', '480.102662', '199.033898', '485.226420', '1302'], ['42.470502', '486.462660', '57.002939', '491.586418', 'Limits'], ['58.670523', '486.462660', '82.873485', '491.586418', 'according'], ['84.470558', '486.462660', '90.692035', '491.586418', 'to:'], ['175.310929', '486.462660', '185.024823', '491.586418', 'ISO'], ['186.590930', '486.462660', '200.833896', '491.586418', '286-2'], ['175.550930', '492.462657', '183.212419', '497.586415', 'not'], ['184.790947', '492.462657', '209.953950', '497.586415', 'applicable'], ['42.470803', '492.582657', '53.640179', '497.706415', '16%'], ['55.190817', '492.582657', '57.037251', '497.706415', '-'], ['58.670821', '492.582657', '67.873766', '497.706415', 'rule'], ['42.470927', '500.502654', '63.021907', '505.626412', 'Nominal'], ['64.550961', '500.502654', '87.843417', '505.626412', 'geometry'], ['89.391001', '500.502654', '121.083479', '505.626412', '(theoretically'], ['122.751063', '500.502654', '137.917520', '505.626412', 'exact)'], ['139.551082', '500.502654', '157.874062', '505.626412', 'defined'], ['159.351136', '500.502654', '165.363571', '505.626412', 'by'], ['166.911147', '500.502654', '178.594095', '505.626412', 'CAD'], ['180.230719', '500.502654', '188.972204', '505.626412', 'file:']]
25;1;[['466.670813', '461.872555', '469.467056', '466.519790', '1']]
26;3;[['705.831325', '461.872555', '731.067818', '466.519790', '04.04.2018']]
27;3;[['548.030781', '470.504063', '580.469249', '474.853041', 'DESCRIPTION']]
28;3;[['667.910733', '470.504063', '688.949102', '474.853041', 'SECTION']]
29;3;[['314.630874', '505.335609', '324.436384', '518.919691', 'A']]
30;3;[['408.110604', '505.335609', '417.916114', '518.919691', 'A']]
31;3;[['463.070815', '516.462648', '482.012282', '521.586406', 'Weight:']]
32;3;[['143.870942', '524.022460', '158.761184', '536.290030', 'd'], ['162.710935', '527.330339', '176.320023', '536.386382', '0,2'], ['180.350928', '527.330339', '186.887925', '536.386382', 'A'], ['190.910924', '527.330339', '197.447921', '536.386382', 'B']]
33;3;[['503.150619', '516.582648', '518.732192', '521.706406', 'Scale:']]
34;1;[['480.950808', '525.285181', '483.269564', '531.719737', '-']]
35;3;[['515.390794', '526.005181', '519.262352', '532.439737', '2'], ['521.150787', '526.005181', '523.086566', '532.439737', ':'], ['525.110821', '526.005181', '528.982379', '532.439737', '1']]
36;3;[['543.230783', '516.462648', '554.732298', '521.586406', 'Unit:']]
37;3;[['583.310767', '516.462648', '609.692421', '521.586406', 'Projection:'], ['583.310767', '524.622645', '592.784676', '529.746403', 'ISO'], ['594.470753', '524.622645', '603.793739', '529.746403', '128'], ['583.310767', '530.862642', '601.873791', '535.986400', 'Method'], ['603.470864', '530.862642', '606.553799', '535.986400', '1']]
38;3;[['555.350778', '525.405181', '567.031154', '531.839737', 'mm']]
39;3;[['653.390739', '516.525184', '685.326392', '522.959741', 'Document'], ['687.230648', '516.525184', '702.366371', '522.959741', 'type:']]
40;3;[['653.390739', '536.445176', '690.366444', '542.879733', 'Description:']]
41;3;[['481.910807', '545.930332', '504.234616', '554.986374', 'HUM']]
42;3;[['514.190794', '546.467795', '556.170929', '554.213039', '11.07.2018']]
43;1;[['777.711531', '461.392555', '779.386259', '466.039790', '-']]
44;3;[['743.751643', '461.872555', '753.346152', '466.519790', 'LKA']]
45;1;[['806.751614', '461.392555', '808.426342', '466.039790', '-']]
46;3;[['735.710706', '470.504063', '753.629094', '474.853041', 'DRAWN'], ['755.030857', '470.504063', '761.290293', '474.853041', 'BY'], ['765.350694', '470.504063', '777.699269', '474.853041', 'INSP.'], ['779.150837', '470.504063', '791.770297', '474.853041', 'DATE']]
47;3;[['797.510681', '470.504063', '809.979257', '474.853041', 'INSP.'], ['811.310825', '470.504063', '817.690262', '474.853041', 'BY']]
48;1;[['368.269029', '575.930320', '373.718160', '584.986362', '4']]
49;1;[['468.348598', '575.930320', '473.797729', '584.986362', '5']]
50;3;[['705.470718', '542.210333', '729.999762', '551.266376', 'Valve'], ['732.710617', '542.210333', '754.454158', '551.266376', 'Lifter'], ['757.190560', '542.210333', '790.359576', '551.266376', 'GV12.2']]
51;1;[['568.548127', '575.930320', '573.997258', '584.986362', '6']]
52;1;[['668.627696', '575.930320', '674.076827', '584.986362', '7']]
53;1;[['823.666285', '544.010333', '829.654449', '553.066375', 'F']]
54;3;[['793.551216', '556.486651', '809.654008', '562.146317', 'Page:']]
55;3;[['710.390716', '562.970325', '748.599674', '572.026367', '5129275']]
56;3;[['586.910765', '568.366647', '610.436252', '574.026312', 'ENGINE'], ['612.230747', '568.366647', '633.756366', '574.026312', 'Division']]
57;3;[['491.630803', '568.507468', '507.196707', '572.439753', 'Drawing'], ['508.430723', '568.507468', '525.215445', '572.439753', 'Approval'], ['526.430711', '568.507468', '538.636672', '572.439753', 'Stamp']]
58;1;[['268.069500', '575.930320', '273.518632', '584.986362', '3']]
59;3;[['705.470718', '521.570342', '756.075037', '530.626384', 'Component'], ['758.750501', '521.570342', '794.679443', '530.626384', 'Drawing']]
60;3;[['653.390739', '556.486651', '664.693492', '562.146317', 'Part'], ['666.350702', '556.486651', '689.893473', '562.146317', 'Number:']]
61;3;[['466.430813', '557.566651', '485.556430', '563.226317', 'Design'], ['487.310847', '557.566651', '506.436142', '563.226317', 'Freeze'], ['508.190559', '557.566651', '530.676182', '563.226317', 'Release'], ['533.150787', '557.446651', '540.636356', '563.106317', 'B1'], ['540.950614', '557.566651', '563.915856', '563.226317', '-Sample']]
62;3;[['100.550559', '567.405164', '110.302109', '573.839720', 'tbd']]
63;1;[['167.989931', '575.930320', '173.439062', '584.986362', '2']]
64;3;[['712.190715', '470.504063', '724.810175', '474.853041', 'DATE']]
